(500,500,3) * * * * 1.05 36147 36147 36147 36147 1.044806359059 1.044806359059 1.044806359059 1.044806359059
(500,1500,3) 401fnweo(3(1310;214qtevk(3(1627; 334dlsiq(3(1069;401fnweo(3(1309;214qtevk(3(1627; 401fnweo(3(1309;214qtevk(3(1627; 401fnweo(3(1310;214qtevk(3(1627; 1.68 31283.2 31964.2 32972.8 31283.2 1999.697411761905 1999.697411761905 1999.697411761905 1999.697411761905
(500,2500,3) * * * * 1.63 32665 32665 32665 32665 1.013820434604 1.013820434604 1.013820434604 1.013820434604
(500,3500,3) 946ueymg(3(1123;177vmbhx(3(1779; 177vmbhx(3(1779; 177vmbhx(3(1779; 177vmbhx(3(1779; 1.99 17131.3 18667.3 18667.3 18119.5 1999.768784572864 1999.768784572864 1999.768784572864 1999.768784572864
(500,4500,3) 403tkdpw(3(1463;59qlmid(3(1618;429dsjkt(3(1695;402hnolp(3(1836; 403tkdpw(3(1463;429dsjkt(3(1695;83jlmwp(3(1876; 403tkdpw(3(1463;429dsjkt(3(1695;402hnolp(3(1836;83jlmwp(3(1876; 403tkdpw(3(1463;83jlmwp(3(1876; 1.26 25256.9 26777.7 25031.7 29189.2 1998.879479492063 1998.879479492063 1998.879479492063 1998.879479492063
(500,5500,3) * * 429dsjkt(3(1694;83jlmwp(3(1876; 429dsjkt(3(1694; 1.11 25088 25088 23393.3 24284.2 1999.665318036036 1999.665318036036 1999.665318036036 1999.665318036036
(500,6500,3) * * * * 1.9 25497 25497 25497 25497 1927.666178410526 1927.666178410526 1927.666178410526 1927.666178410526
(1500,500,3) * * * * 1.01 38195 38195 38195 38195 1452.304249128713 1452.304249128713 1452.304249128713 1452.304249128713
(1500,1500,3) 334rcabl(3(1465; 334rcabl(3(1465; 334rcabl(3(1465; 334rcabl(3(1465; 1.58 25241.6 26214.4 26214.4 25241.6 1999.145088582278 1999.145088582278 1999.145088582278 1999.145088582278
(1500,2500,3) * * 868tlaqb(3(1682; * 1.33 32870 32870 30013 32870 1998.21788412782 1998.21788412782 1998.21788412782 1998.21788412782
(1500,3500,3) 154qylmb(3(1627; 154qylmb(3(1627; 154qylmb(3(1627; 154qylmb(3(1627; 1.98 32040.4 32931.2 32040.4 32931.2 1999.979197545455 1999.979197545455 1999.979197545455 1999.979197545455
(1500,4500,3) * * * * 1.75 19968 19968 19968 19968 1838.551391331429 1838.551391331429 1838.551391331429 1838.551391331429
(1500,5500,3) 438vhcou(3(1048;186vkiwt(3(1576; * * * 1.03 29638.9 31436 31436 31436 1998.960394097087 1998.960394097087 1998.960394097087 1998.960394097087
(1500,6500,3) 592prwtq(3(1014;592hveqr(3(1156; 592prwtq(3(1014;592hveqr(3(1156; 592prwtq(3(1014;592hveqr(3(1157; 592prwtq(3(1014;592hveqr(3(1157; 1.59 18047.4 18861.4 17079.8 17893.8 1999.318018226415 1999.318018226415 1999.318018226415 1999.318018226415
(2500,500,3) * * * * 1.89 34918 34918 34918 34918 1547.073887697109 1546.973292307573 1547.073887697109 1546.973292307573
(2500,1500,3) 10fwtqb(3(1068; * 207rjwdg(3(1306; * 1.37 31856.2 32870 31963.8 32870 1997.653347306569 1997.653347306569 1997.653347306569 1997.653347306569
(2500,2500,3) * * * * 1.85 28774 28774 28774 28774 1698.918838891892 1699.40805266156 1699.40805266156 1698.918838891892
(2500,3500,3) * 107ekith(3(1750;900yhvks(3(1847; * * 1.2 36761 29290.8 36761 36761.1 1999.231706466667 1999.231706466667 1999.231706466667 1999.231706466667
(2500,4500,3) 304ewmjk(3(1828; * * * 1.56 34037.4 37990.1 37989.9 37990 1998.162956487179 1998.162956487179 1998.162956487179 1998.162956487179
(2500,5500,3) 1npfer(3(492; * * * 1.63 28732.5 29388 29388 29388 1999.987356576687 1999.987356576687 1999.987356576687 1999.987356576687
(2500,6500,3) 903nzoeq(3(1751; 903nzoeq(3(1751; 903nzoeq(3(1751; 903nzoeq(3(1751; 1.1 33110.4 33110.4 33986 33986.1 1997.975564654545 1997.975564654545 1997.975564654545 1997.975564654545
(3500,500,3) 254zcirh(3(1958; * * * 1.08 24575.2 28364 28364 28364 1998.02538762963 1998.02538762963 1998.02538762963 1998.02538762963
(3500,1500,3) * * * * 1.95 31436.1 31436 31436 31436 1886.6284964 1886.6284964 1886.950742065293 1886.6284964
(3500,2500,3) * * * * 1.81 35532 35532 35532 35532 1512.619707211557 1512.619707211557 1512.619707211557 1512.619707211557
(3500,3500,3) 900yhvks(3(1847; * 900yhvks(3(1847; 900yhvks(3(1847; 1.2 30232.7 32460 29490.4 31717.6 1999.497594876254 1999.497594876254 1999.497594876254 1999.497594876254
(3500,4500,3) 684ijyvb(3(1343;312mepig(3(1831;243ruaeb(3(1959; 304ewmjk(3(1827;312mepig(3(1830;594pmszv(3(1941;243ruaeb(3(1959; 312mepig(3(1831;594pmszv(3(1941; 195vscdj(3(1484;552crazw(3(1586;312yzemo(3(1721;304ewmjk(3(1827;312mepig(3(1830;632nisey(3(1860;243wduix(3(1861;594pmszv(3(1941; 1.85 28702 27862.2 30243 12635.4 1999.871566718919 1999.871566718919 1999.871566718919 1999.871566718919
(3500,5500,3) * * * * 1.25 31845.9 31846 31846 31845.9 1907.467578023402 1907.467578023402 1907.467578023402 1907.467578023402
(3500,6500,3) * * * 195fenuy(3(872; 1.8 20377 20377 20377.1 19655.2 1999.490279133333 1999.490279133333 1999.490279133333 1999.490279133333
(4500,500,3) 482kvpxo(3(1269;482jluye(3(1687;185ewkvj(3(1808;482yjzag(3(1864; 482kvpxo(3(1268;482jluye(3(1687;482yjzag(3(1864; 482kvpxo(3(1269;482jluye(3(1687;185ewkvj(3(1807;482yjzag(3(1864; 482kvpxo(3(1269;482jluye(3(1687;482yjzag(3(1864;288qycag(3(1985; 1.01 24248 31042.2 27534.9 26628.8 1999.995873643564 1999.995873643564 1999.995873643564 1999.995873643564
(4500,1500,3) 185ewkvj(3(1807; 36kpqvf(3(1002;152mobqv(3(1831; 185ewkvj(3(1807; * 1.17 17386.9 17023.4 17386.9 19353 1999.948050820513 1999.948050820513 1999.948050820513 1999.948050820513
(4500,2500,3) 152mobqv(3(1831; 152mobqv(3(1831; 152mobqv(3(1831; 152mobqv(3(1831;608grdfw(3(1867; 1.77 21442.6 20643.8 22241.3 20649 1999.637520423729 1999.637520423729 1999.637520423729 1999.637520423729
(4500,3500,3) 608grdfw(3(1867;446tnmyv(3(1914; 608grdfw(3(1867;446tnmyv(3(1914; 608grdfw(3(1867; 608grdfw(3(1867;446tnmyv(3(1913; 1.31 31159.9 31159.9 33330.8 31451.8 1999.46884221374 1999.46884221374 1999.46884221374 1999.46884221374
(4500,4500,3) 517skzcp(3(1973; 517skzcp(3(1973; * 517skzcp(3(1972; 1.1 18882.2 18042.1 21401 19721.7 1999.558716854545 1999.558716854545 1999.558716854545 1999.558716854545
(4500,5500,3) 66hwaxf(3(1708; 66hwaxf(3(1708; 66hwaxf(3(1708; 66hwaxf(3(1708; 1.85 29726.1 29726.1 28768.7 28768.7 1998.831436481081 1998.831436481081 1998.831436481081 1998.831436481081
(4500,6500,3) * * * * 1.77 35328 35328 35328 35328 1527.043454497175 1527.043454497175 1527.043454497175 1527.043454497175
(5500,500,3) * * * * 1.23 28160 28160 28160 28160 1867.773064860677 1867.861125621547 1867.773064860677 1867.773064860677
(5500,1500,3) * * * * 1.28 23040 23040 23040 23040 1673.980686 1673.980686 1673.980686 1673.980686
(5500,2500,3) * 638gakvp(3(1880; * 517skzcp(3(1973; 1.7 24883 24033.1 24883 24043.3 1999.920290741176 1999.920290741176 1999.920290741176 1999.920290741176
(5500,3500,3) * * * 84mhuvg(3(1864;638gakvp(3(1881; 1.35 33075 33075 33075 26296.2 1999.383774318519 1999.383774318519 1999.383774318519 1999.383774318519
(5500,4500,3) * * * * 1.71 29593 29593.2 29592.9 29593.3 1959.429385342939 1959.429385342939 1959.429385342939 1959.535864062986
(5500,5500,3) * * * * 1.85 25497 25497 25497 25497 1652.272947843243 1652.437771877446 1652.272947843243 1652.272947843243
(5500,6500,3) * * * * 1.63 33689 33689 33689 33689 1.119121798605 1.119121798605 1.119121798605 1.119121798605
(6500,500,3) 242mitue(3(1933; * * * 1.36 20827.8 26726 26726 26726 1997.046261117647 1997.046261117647 1997.046261117647 1997.046261117647
(6500,1500,3) * * * * 1.41 32460 32460 32460 32460 1492.105586007092 1492.105586007092 1492.105586007092 1492.105586007092
(6500,2500,3) * * * * 1.05 18534 18534 18534 18534 1315.013850959912 1314.764155904762 1314.764155904762 1314.764155904762
(6500,3500,3) * * * * 1.36 20172 20172.1 20171.9 20172 1871.806363235294 1871.806363235294 1871.806363235294 1871.806363235294
(6500,4500,3) 247scvlh(3(1757;2aujki(3(1866; 247scvlh(3(1757;2aujki(3(1866; 247scvlh(3(1757;2aujki(3(1866; 247scvlh(3(1757;2aujki(3(1866; 1.99 30970.4 30438 31590 31057.6 1998.719193643446 1998.719193643446 1998.719193643446 1998.719193643446
(6500,5500,3) * * * * 1.26 24678 24678 24678 24678 1.092814334673 1.092814334673 1.092814334673 1.092814334673
(6500,6500,3) * * * * 1.85 26521 26521 26521 26521 1.179465438058 1.179465438058 1.179465438058 1.179465438058
(7500,500,3) * 352loswn(3(1773; 352loswn(3(1773; * 1.82 36556 32639.2 32639.2 36556 1999.246150175824 1999.246150175824 1999.246150175824 1999.246150175824
(7500,1500,3) 123bpjum(3(1582; 123bpjum(3(1582; 123bpjum(3(1583; * 1.6 23075.4 23951 22199.9 25702 1999.8925602 1999.8925602 1999.8925602 1999.8925602
(7500,2500,3) 417afhmw(3(1803; 417afhmw(3(1803; 417afhmw(3(1803; 417afhmw(3(1803; 1.58 31799.7 31799.7 32429.4 32429.4 1997.635840075949 1997.635840075949 1997.635840075949 1997.635840075949
(7500,3500,3) 975oylka(3(1561;640jglnh(3(1771;975wblet(3(1940; 975oylka(3(1561;640jglnh(3(1771;975wblet(3(1940; 975oylka(3(1561;640jglnh(3(1770;975wblet(3(1941; 975oylka(3(1561;640jglnh(3(1770;975wblet(3(1940; 1.72 25815.1 24985.6 22589.4 25968.7 1999.32509844186 1999.32509844186 1999.32509844186 1999.32509844186
(7500,4500,3) 267hnjdw(3(1925; 267hnjdw(3(1924; 267hnjdw(3(1925; 267hnjdw(3(1924; 1.04 34385.5 35245.7 34385.5 35245.7 1997.901000461538 1997.901000461538 1997.901000461538 1997.901000461538
(7500,5500,3) * * * * 1.86 30617 30617 30617 30617 1.199780930544 1.199780930544 1.199780930544 1.199780930544
(7500,6500,3) * * * * 1.34 33689 33689 33689 33689 1.038395177887 1.038395177887 1.038395177887 1.038395177887
(8500,500,3) 221oedcf(3(1455;221eivom(3(1607;127yisqu(3(1625;127vtagi(3(1674; 221oedcf(3(1455;221eivom(3(1607;306vxwkp(3(1664;127vtagi(3(1673; 221oedcf(3(1455;221eivom(3(1607;306vxwkp(3(1664;127vtagi(3(1674; 221oedcf(3(1455;221eivom(3(1607;306vxwkp(3(1664;127vtagi(3(1673; 1.57 21422.1 30121 27837.4 29342.7 1999.692854738854 1999.692854738854 1999.692854738854 1999.692854738854
(8500,1500,3) * 123bpjum(3(1582; * * 1.87 36966 36090.5 36966 36966 1999.394578069519 1999.394578069519 1999.394578069519 1999.394578069519
(8500,2500,3) * * * * 1.47 29388 29388 29388 29388 1088.658875442177 1088.658875442177 1088.658875442177 1088.658875442177
(8500,3500,3) 975wblet(3(1940; * * * 1.68 27924.1 28774 28774 28774 1997.695870809524 1997.695870809524 1997.695870809524 1997.695870809524
(8500,4500,3) 904eztvr(3(1698;267rdatf(3(1746;665dscwu(3(1913;856zetla(3(1989; 904eztvr(3(1698;267rdatf(3(1746;665dscwu(3(1913;856zetla(3(1989; 904eztvr(3(1698;267rdatf(3(1746;665dscwu(3(1912;856zetla(3(1990; 267rdatf(3(1746;665dscwu(3(1912;856zetla(3(1990; 1.87 24959.7 25000.7 25149.3 27340.7 1999.645293475936 1999.645293475936 1999.645293475936 1999.645293475936
(8500,5500,3) * * * * 1.43 18329 18329 18329 18329 1.16339060246 1.16339060246 1.16339060246 1.16339060246
(8500,6500,3) * * * * 1.33 37990 37990 37990 37990 1.118129141422 1.118129141422 1.118129141422 1.118129141422
